Prime_p,6N_Wing,Mod_4,Mod_8,Mod_24,Disc,Class_Number_h,h_over_sqrt_p
5,-1,1,5,5,-20,2,0.894427
7,1,3,7,7,-7,1,0.377964
11,-1,3,3,11,-11,1,0.301511
13,1,1,5,13,-52,2,0.554700
17,-1,1,1,17,-68,4,0.970143
19,1,3,3,19,-19,1,0.229416
23,-1,3,7,23,-23,3,0.625543
29,-1,1,5,5,-116,6,1.114172
31,1,3,7,7,-31,3,0.538816
37,1,1,5,13,-148,2,0.328798
41,-1,1,1,17,-164,8,1.249390
43,1,3,3,19,-43,1,0.152499
47,-1,3,7,23,-47,5,0.729325
53,-1,1,5,5,-212,6,0.824163
59,-1,3,3,11,-59,3,0.390567
61,1,1,5,13,-244,6,0.768221
67,1,3,3,19,-67,1,0.122169
71,-1,3,7,23,-71,7,0.830747
73,1,1,1,1,-292,4,0.468165
79,1,3,7,7,-79,5,0.562544
83,-1,3,3,11,-83,3,0.329293
89,-1,1,1,17,-356,12,1.271997
97,1,1,1,1,-388,4,0.406138
101,-1,1,5,5,-404,14,1.393052
103,1,3,7,7,-103,5,0.492665
107,-1,3,3,11,-107,3,0.290021
109,1,1,5,13,-436,6,0.574696
113,-1,1,1,17,-452,8,0.752577
127,1,3,7,7,-127,5,0.443678
131,-1,3,3,11,-131,5,0.436852
137,-1,1,1,17,-548,8,0.683486
139,1,3,3,19,-139,3,0.254457
149,-1,1,5,5,-596,14,1.146925
151,1,3,7,7,-151,7,0.569652
157,1,1,5,13,-628,6,0.478852
163,1,3,3,19,-163,1,0.078326
167,-1,3,7,23,-167,11,0.851206
173,-1,1,5,5,-692,14,1.064400
179,-1,3,3,11,-179,5,0.373718
181,1,1,5,13,-724,10,0.743294
191,-1,3,7,23,-191,13,0.940647
193,1,1,1,1,-772,4,0.287926
197,-1,1,5,5,-788,10,0.712470
199,1,3,7,7,-199,9,0.637993
211,1,3,3,19,-211,3,0.206529
223,1,3,7,7,-223,7,0.468755
227,-1,3,3,11,-227,5,0.331862
229,1,1,5,13,-916,10,0.660819
233,-1,1,1,17,-932,12,0.786146
239,-1,3,7,23,-239,15,0.970269
241,1,1,1,1,-964,12,0.772988
251,-1,3,3,11,-251,7,0.441836
257,-1,1,1,17,-1028,16,0.998053
263,-1,3,7,23,-263,13,0.801614
269,-1,1,5,5,-1076,22,1.341364
271,1,3,7,7,-271,11,0.668202
277,1,1,5,13,-1108,6,0.360505
281,-1,1,1,17,-1124,20,1.193100
283,1,3,3,19,-283,3,0.178331
293,-1,1,5,5,-1172,18,1.051571
