Prime_p,6N_Wing,Mod_24,Mod_7,Mod_13,a_7,a_13
5,-1,5,5,5,-1,-2
7,1,7,0,7,0,7
11,-1,11,4,11,-5,-5
13,1,13,6,0,-4,0
17,-1,17,3,4,5,-7
19,1,19,5,6,-1,7
23,-1,23,2,10,1,5
29,-1,5,1,3,4,5
31,1,7,3,5,5,-2
37,1,13,2,11,1,-5
41,-1,17,6,2,-4,-5
43,1,19,1,4,4,-7
47,-1,23,5,8,-1,-2
53,-1,5,4,1,-5,2
59,-1,11,3,7,5,7
61,1,13,5,9,-1,-7
67,1,19,4,2,-5,-5
71,-1,23,1,6,4,7
73,1,1,3,8,5,-2
79,1,7,2,1,1,2
83,-1,11,6,5,-4,-2
89,-1,17,5,11,-1,-5
97,1,1,6,6,-4,7
101,-1,5,3,10,5,5
103,1,7,5,12,-1,2
107,-1,11,2,3,1,5
109,1,13,4,5,-5,-2
113,-1,17,1,9,4,-7
127,1,7,1,10,4,5
131,-1,11,5,1,-1,2
137,-1,17,4,7,-5,7
139,1,19,6,9,-4,-7
149,-1,5,2,6,1,7
151,1,7,4,8,-5,-2
157,1,13,3,1,5,2
163,1,19,2,7,1,7
167,-1,23,6,11,-4,-5
173,-1,5,5,4,-1,-7
179,-1,11,4,10,-5,5
181,1,13,6,12,-4,2
191,-1,23,2,9,1,-7
193,1,1,4,11,-5,-5
197,-1,5,1,2,4,-5
199,1,7,3,4,5,-7
211,1,19,1,3,4,5
223,1,7,6,2,-4,-5
227,-1,11,3,6,5,7
229,1,13,5,8,-1,-2
233,-1,17,2,12,1,2
239,-1,23,1,5,4,-2
241,1,1,3,7,5,7
251,-1,11,6,4,-4,-7
257,-1,17,5,10,-1,5
263,-1,23,4,3,-5,5
269,-1,5,3,9,5,-7
271,1,7,5,11,-1,-5
277,1,13,4,4,-5,-7
281,-1,17,1,8,4,-2
283,1,19,3,10,5,5
293,-1,5,6,7,-4,7
307,1,19,6,8,-4,-2
311,-1,23,3,12,5,2
