Prime_p,6N_Wing,Mod_24,Disc,Conductor,L_Function_Type,Gamma_1_Height,gamma1_x_logp,Computation_Status
5,-1,5,-20,20,Dirichlet_chi_-p,2.358935,3.796559,ok
7,1,7,-7,7,Dirichlet_chi_-p,4.475738,8.709385,ok
11,-1,11,-11,11,Dirichlet_chi_-p,2.477244,5.940171,ok
13,1,13,-52,52,Dirichlet_chi_-p,1.092680,2.802670,ok
17,-1,17,-68,68,Dirichlet_chi_-p,1.500900,4.252371,ok
19,1,19,-19,19,Dirichlet_chi_-p,1.516084,4.464016,ok
23,-1,23,-23,23,Dirichlet_chi_-p,2.871340,9.003069,ok
29,-1,5,-116,116,Dirichlet_chi_-p,1.452919,4.892408,ok
31,1,7,-31,31,Dirichlet_chi_-p,2.034982,6.988104,ok
37,1,13,-148,148,Dirichlet_chi_-p,0.504898,1.823147,ok
41,-1,17,-164,164,Dirichlet_chi_-p,1.526817,5.669943,ok
43,1,19,-43,43,Dirichlet_chi_-p,0.836401,3.145871,ok
47,-1,23,-47,47,Dirichlet_chi_-p,2.217378,8.537233,ok
53,-1,5,-212,212,Dirichlet_chi_-p,0.935716,3.715064,ok
59,-1,11,-59,59,Dirichlet_chi_-p,1.606455,6.550381,ok
61,1,13,-244,244,Dirichlet_chi_-p,1.055717,4.339921,ok
67,1,19,-67,67,Dirichlet_chi_-p,0.604315,2.540958,ok
71,-1,23,-71,71,Dirichlet_chi_-p,2.179581,9.290856,ok
73,1,1,-292,292,Dirichlet_chi_-p,0.642852,2.758132,ok
79,1,7,-79,79,Dirichlet_chi_-p,1.466838,6.409272,ok
83,-1,11,-83,83,Dirichlet_chi_-p,1.222920,5.403891,ok
89,-1,17,-356,356,Dirichlet_chi_-p,1.244907,5.587936,ok
97,1,1,-388,388,Dirichlet_chi_-p,0.518318,2.371157,ok
101,-1,5,-404,404,Dirichlet_chi_-p,1.427224,6.586809,ok
103,1,7,-103,103,Dirichlet_chi_-p,1.204795,5.583900,ok
107,-1,11,-107,107,Dirichlet_chi_-p,1.015320,4.744419,ok
109,1,13,-436,436,Dirichlet_chi_-p,0.705439,3.309462,ok
113,-1,17,-452,452,Dirichlet_chi_-p,0.729039,3.446450,ok
127,1,7,-127,127,Dirichlet_chi_-p,1.035609,5.016682,ok
131,-1,11,-131,131,Dirichlet_chi_-p,1.489985,7.263972,ok
137,-1,17,-548,548,Dirichlet_chi_-p,0.631912,3.108994,ok
139,1,19,-139,139,Dirichlet_chi_-p,1.043844,5.150820,ok
149,-1,5,-596,596,Dirichlet_chi_-p,0.999899,5.003442,ok
151,1,7,-151,151,Dirichlet_chi_-p,1.231450,6.178531,ok
157,1,13,-628,628,Dirichlet_chi_-p,0.594620,3.006547,ok
163,1,19,-163,163,Dirichlet_chi_-p,0.202901,1.033529,ok
167,-1,23,-167,167,Dirichlet_chi_-p,1.567015,8.019971,ok
173,-1,5,-692,692,Dirichlet_chi_-p,0.967714,4.986914,ok
179,-1,11,-179,179,Dirichlet_chi_-p,1.117498,5.796895,ok
181,1,13,-724,724,Dirichlet_chi_-p,0.852315,4.430755,ok
191,-1,23,-191,191,Dirichlet_chi_-p,1.656709,8.701488,ok
193,1,1,-772,772,Dirichlet_chi_-p,0.256831,1.351620,ok
197,-1,5,-788,788,Dirichlet_chi_-p,0.615484,3.251728,ok
199,1,7,-199,199,Dirichlet_chi_-p,1.300272,6.882738,ok
211,1,19,-211,211,Dirichlet_chi_-p,0.787458,4.214362,ok
223,1,7,-223,223,Dirichlet_chi_-p,0.951023,5.142345,ok
227,-1,11,-227,227,Dirichlet_chi_-p,0.983801,5.337071,ok
229,1,13,-916,916,Dirichlet_chi_-p,0.706094,3.836717,ok
233,-1,17,-932,932,Dirichlet_chi_-p,0.670890,3.657045,ok
239,-1,23,-239,239,Dirichlet_chi_-p,1.601291,8.769412,ok
241,1,1,-964,964,Dirichlet_chi_-p,0.854220,4.685221,ok
251,-1,11,-251,251,Dirichlet_chi_-p,1.256869,6.944768,ok
257,-1,17,-1028,1028,Dirichlet_chi_-p,0.842186,4.673354,ok
263,-1,23,-263,263,Dirichlet_chi_-p,1.271353,7.084177,ok
269,-1,5,-1076,1076,Dirichlet_chi_-p,1.039784,5.817289,ok
271,1,7,-271,271,Dirichlet_chi_-p,1.282992,7.187472,ok
277,1,13,-1108,1108,Dirichlet_chi_-p,0.393256,2.211676,ok
281,-1,17,-1124,1124,Dirichlet_chi_-p,0.939671,5.298201,ok
283,1,19,-283,283,Dirichlet_chi_-p,0.695560,3.926747,ok
293,-1,5,-1172,1172,Dirichlet_chi_-p,0.878246,4.988590,ok
307,1,19,-307,307,Dirichlet_chi_-p,0.656833,3.761585,ok
311,-1,23,-311,311,Dirichlet_chi_-p,1.778096,10.205903,ok
313,1,1,-1252,1252,Dirichlet_chi_-p,0.505227,2.903139,ok
317,-1,5,-1268,1268,Dirichlet_chi_-p,0.411453,2.369518,ok
331,1,19,-331,331,Dirichlet_chi_-p,0.565267,3.279745,ok
337,1,1,-1348,1348,Dirichlet_chi_-p,0.529822,3.083607,ok
347,-1,11,-347,347,Dirichlet_chi_-p,0.739887,4.327840,ok
349,1,13,-1396,1396,Dirichlet_chi_-p,0.767761,4.495294,ok
353,-1,17,-1412,1412,Dirichlet_chi_-p,0.658855,3.865150,ok
359,-1,23,-359,359,Dirichlet_chi_-p,1.462918,8.606816,ok
367,1,7,-367,367,Dirichlet_chi_-p,0.862639,5.094193,ok
373,1,13,-1492,1492,Dirichlet_chi_-p,0.699874,4.144358,ok
379,1,19,-379,379,Dirichlet_chi_-p,0.505385,3.000739,ok
383,-1,23,-383,383,Dirichlet_chi_-p,1.247493,7.420130,ok
389,-1,5,-1556,1556,Dirichlet_chi_-p,0.819625,4.887900,ok
397,1,13,-1588,1588,Dirichlet_chi_-p,0.185794,1.111777,ok
401,-1,17,-1604,1604,Dirichlet_chi_-p,0.715304,4.287502,ok
409,1,1,-1636,1636,Dirichlet_chi_-p,0.814780,4.899854,ok
419,-1,11,-419,419,Dirichlet_chi_-p,1.098561,6.632967,ok
421,1,13,-1684,1684,Dirichlet_chi_-p,0.473071,2.858592,ok
