Prime_p,6N_Wing,Mod_12,Weight_k,Form_Index,a_p
5,-1,5,4,0,6
7,1,7,4,0,-16
11,-1,11,4,0,12
13,1,1,4,0,38
17,-1,5,4,0,-126
19,1,7,4,0,20
23,-1,11,4,0,168
29,-1,5,4,0,30
31,1,7,4,0,-88
37,1,1,4,0,254
41,-1,5,4,0,42
43,1,7,4,0,-52
47,-1,11,4,0,-96
53,-1,5,4,0,198
59,-1,11,4,0,-660
61,1,1,4,0,-538
67,1,7,4,0,884
71,-1,11,4,0,792
73,1,1,4,0,218
79,1,7,4,0,-520
83,-1,11,4,0,-492
89,-1,5,4,0,810
97,1,1,4,0,1154
101,-1,5,4,0,-618
103,1,7,4,0,128
107,-1,11,4,0,-1476
109,1,1,4,0,1190
113,-1,5,4,0,-462
127,1,7,4,0,-2536
131,-1,11,4,0,2292
137,-1,5,4,0,-726
139,1,7,4,0,380
149,-1,5,4,0,1590
151,1,7,4,0,2432
157,1,1,4,0,614
163,1,7,4,0,-1852
167,-1,11,4,0,-2136
173,-1,5,4,0,1758
179,-1,11,4,0,-540
181,1,1,4,0,1982
191,-1,11,4,0,-2688
193,1,1,4,0,-2302
197,-1,5,4,0,4374
199,1,7,4,0,-1600
211,1,7,4,0,3332
223,1,7,4,0,2648
227,-1,11,4,0,2244
229,1,1,4,0,-5650
233,-1,5,4,0,4698
239,-1,11,4,0,-1200
241,1,1,4,0,-718
251,-1,11,4,0,6012
257,-1,5,4,0,-2046
263,-1,11,4,0,-6072
269,-1,5,4,0,-6930
271,1,7,4,0,1352
277,1,1,4,0,-1186
281,-1,5,4,0,2442
283,1,7,4,0,2828
293,-1,5,4,0,4758
307,1,7,4,0,-8476
311,-1,11,4,0,4632
313,1,1,4,0,-4822
317,-1,5,4,0,-3426
331,1,7,4,0,-2788
337,1,1,4,0,434
347,-1,11,4,0,6684
349,1,1,4,0,2630
353,-1,5,4,0,-7422
359,-1,11,4,0,-10440
367,1,7,4,0,10424
373,1,1,4,0,3278
379,1,7,4,0,6140
383,-1,11,4,0,-3072
389,-1,5,4,0,6150
397,1,1,4,0,-106
401,-1,5,4,0,-1758
409,1,1,4,0,-3670
419,-1,11,4,0,-9660
421,1,1,4,0,8462
431,-1,11,4,0,9792
433,1,1,4,0,-7342
439,1,7,4,0,10640
443,-1,11,4,0,-17412
449,-1,5,4,0,-1710
457,1,1,4,0,-646
461,-1,5,4,0,-6018
463,1,7,4,0,-6712
467,-1,11,4,0,5364
479,-1,11,4,0,9840
487,1,7,4,0,1424
491,-1,11,4,0,-4548
499,1,7,4,0,6500
503,-1,11,4,0,12168
509,-1,5,4,0,-21090
521,-1,5,4,0,-5238
523,1,7,4,0,8588
541,1,1,4,0,3062
547,1,7,4,0,-8476
557,-1,5,4,0,-12546
563,-1,11,4,0,-12
569,-1,5,4,0,19290
